datetime,value
2020-04-10 00:00:00,97.14
2020-04-11 00:00:00,98.3
2020-04-12 00:00:00,96.17
2020-04-13 00:00:00,97.38
2020-04-14 00:00:00,95.94
2020-04-15 00:00:00,93.95
2020-04-16 00:00:00,89.86
2020-04-17 00:00:00,88.9
2020-04-18 00:00:00,87.05
2020-04-19 00:00:00,84.76
2020-04-20 00:00:00,84.56
2020-04-21 00:00:00,89.08
2020-04-22 00:00:00,85.92
2020-04-23 00:00:00,81.55
2020-06-16 00:00:00,73.47
2020-06-23 00:00:00,70.62
2020-06-24 00:00:00,69.61
2020-06-25 00:00:00,71.49
2020-06-26 00:00:00,71.64
2020-06-27 00:00:00,61.05
2020-06-28 00:00:00,62.6
2020-06-29 00:00:00,63.28
2020-06-30 00:00:00,60.65
2020-07-01 00:00:00,60.12
2020-07-02 00:00:00,57.45
2020-07-03 00:00:00,54.59
2020-07-04 00:00:00,54.99
2020-07-05 00:00:00,56.85
2020-07-06 00:00:00,58.92
2020-07-07 00:00:00,61.58
2020-07-08 00:00:00,63.28
2020-07-09 00:00:00,65.8
2020-07-10 00:00:00,64.49
2020-07-11 00:00:00,61.83
2020-07-12 00:00:00,63.13
2020-07-13 00:00:00,62.43
2020-07-14 00:00:00,62.95
2020-07-15 00:00:00,61.2
2020-07-16 00:00:00,62.72
2020-07-17 00:00:00,60.18
2020-07-18 00:00:00,57.05
2020-07-19 00:00:00,57.06
2020-07-20 00:00:00,58.18
2020-07-21 00:00:00,56.77
2020-07-22 00:00:00,58.05
2020-07-23 00:00:00,59.3
2020-07-24 00:00:00,58.69
2020-07-25 00:00:00,56.99
2020-07-26 00:00:00,58.8
2020-07-27 00:00:00,62.27
2020-07-28 00:00:00,79.05
2020-07-29 00:00:00,69.3
2020-07-30 00:00:00,68.23
2020-07-31 00:00:00,62.84
2020-08-01 00:00:00,65.4
2020-08-02 00:00:00,73.88
2020-08-03 00:00:00,77.43
2020-08-04 00:00:00,74.05
2020-08-05 00:00:00,74.89
2020-08-06 00:00:00,73.8
2020-08-07 00:00:00,75.06
2020-08-08 00:00:00,75.29
2020-08-09 00:00:00,72.83
2020-08-10 00:00:00,73.67
2020-08-11 00:00:00,72.21
2020-08-12 00:00:00,75.01
2020-08-13 00:00:00,70.84
2020-08-14 00:00:00,70.67
2020-08-15 00:00:00,74.56
2020-08-16 00:00:00,83.87
2020-08-17 00:00:00,83.84
2020-08-18 00:00:00,82.69
2020-08-19 00:00:00,81.52
2020-08-20 00:00:00,76.96
2020-08-21 00:00:00,73.0
2020-08-22 00:00:00,74.2
2020-08-23 00:00:00,71.45
2020-08-24 00:00:00,70.22
2020-08-25 00:00:00,70.21
2020-08-26 00:00:00,68.05
2020-08-27 00:00:00,67.08
2020-08-28 00:00:00,68.2
2020-08-29 00:00:00,63.35
2020-08-30 00:00:00,62.6
2020-08-31 00:00:00,63.79
2020-09-01 00:00:00,64.95
2020-09-02 00:00:00,66.05
2020-09-03 00:00:00,63.81
2020-09-04 00:00:00,72.52
2020-09-05 00:00:00,70.64
2020-09-06 00:00:00,77.76
2020-09-07 00:00:00,76.91
2020-09-08 00:00:00,77.31
2020-09-09 00:00:00,79.31
2020-09-10 00:00:00,78.43
2020-09-11 00:00:00,75.26
2020-09-12 00:00:00,70.82
2020-09-13 00:00:00,66.77
2020-09-14 00:00:00,68.69
2020-09-15 00:00:00,67.32
2020-09-16 00:00:00,67.68
2020-09-17 00:00:00,67.66
2020-09-18 00:00:00,64.64
2020-09-19 00:00:00,62.79
2020-09-20 00:00:00,60.89
2020-09-21 00:00:00,58.77
2020-09-22 00:00:00,62.83
2020-09-23 00:00:00,61.4
2020-09-24 00:00:00,62.84
2020-09-25 00:00:00,56.05
2020-09-26 00:00:00,55.58
2020-09-27 00:00:00,55.0
2020-09-28 00:00:00,55.47
2020-09-29 00:00:00,57.06
2020-09-30 00:00:00,57.5
2020-10-01 00:00:00,57.14
2020-10-02 00:00:00,60.56
2020-10-03 00:00:00,59.11
2020-10-04 00:00:00,59.67
2020-10-05 00:00:00,61.0
2020-10-06 00:00:00,61.42
2020-10-07 00:00:00,62.12
2020-10-08 00:00:00,62.27
2020-10-09 00:00:00,61.1
2020-10-10 00:00:00,58.02
2020-10-11 00:00:00,60.46
2020-10-12 00:00:00,59.41
2020-10-13 00:00:00,60.62
2020-10-14 00:00:00,59.99
2020-10-15 00:00:00,58.62
2020-10-16 00:00:00,58.46
2020-10-17 00:00:00,57.55
2020-10-18 00:00:00,57.71
2020-10-19 00:00:00,57.97
2020-10-20 00:00:00,58.43
2020-10-21 00:00:00,59.86
2020-10-22 00:00:00,70.28
2020-10-23 00:00:00,66.13
2020-10-24 00:00:00,60.55
2020-10-25 00:00:00,61.91
2020-10-26 00:00:00,61.38
2020-10-27 00:00:00,59.16
2020-10-28 00:00:00,69.36
2020-10-29 00:00:00,64.78
2020-10-30 00:00:00,62.68
2020-10-31 00:00:00,64.34
2020-11-01 00:00:00,69.42
2020-11-02 00:00:00,69.96
2020-11-03 00:00:00,73.4
2020-11-04 00:00:00,73.16
2020-11-05 00:00:00,70.49
2020-11-06 00:00:00,77.15
2020-11-07 00:00:00,75.42
2020-11-08 00:00:00,69.01
2020-11-09 00:00:00,71.03
2020-11-10 00:00:00,70.78
2020-11-11 00:00:00,67.09
2020-11-12 00:00:00,66.79
2020-11-13 00:00:00,73.1
2020-11-14 00:00:00,71.76
2020-11-15 00:00:00,70.25
2020-11-16 00:00:00,71.97
2020-11-17 00:00:00,71.51
2020-11-18 00:00:00,81.42
2020-11-19 00:00:00,86.61
2020-11-20 00:00:00,74.89
2020-11-21 00:00:00,82.22
2020-11-22 00:00:00,83.49
2020-11-23 00:00:00,88.37
2020-11-24 00:00:00,91.42
2020-11-25 00:00:00,96.1
2020-11-26 00:00:00,88.58
2020-11-27 00:00:00,87.06
2020-11-28 00:00:00,80.93
2020-11-29 00:00:00,82.12
2020-11-30 00:00:00,85.34
2020-12-01 00:00:00,106.8
2020-12-02 00:00:00,104.47
2020-12-03 00:00:00,90.23
2020-12-04 00:00:00,91.0
2020-12-05 00:00:00,86.06
2020-12-06 00:00:00,85.02
2020-12-07 00:00:00,88.39
2020-12-08 00:00:00,86.34
2020-12-09 00:00:00,82.41
2020-12-10 00:00:00,78.56
2020-12-11 00:00:00,80.35
2020-12-12 00:00:00,77.01
2020-12-13 00:00:00,76.73
2020-12-14 00:00:00,79.69
